name;ep;watch;desc;deets;lat;lng;hulu
Copenhagen, You've Changed;Season: 146 Episode: 4;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/copenhagen-youve-changed target="_blank">Watch on HGTV GO</a>";Time in Copenhagen impressed this Atlanta man when he was a young intern. Thirteen years later, he's returned to live the Danish dream, but with a new husband in tow and an ever-tightening real estate market, he might be in for a rude awakening.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/copenhagen-youve-changed target="_blank">here</a> for episode details.";55.6867243;12.5700724;
Leveling Up in Malmo;Season: 153 Episode: 11;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/leveling-up-in-malmo target="_blank">Watch on HGTV GO</a>";An American couple struggling with their work-life balance head to Malmo, Sweden, for a slower pace. He'll need to take a pay cut in order to move, and she won't be able to work, so the reality of purchasing a home becomes stressful.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/leveling-up-in-malmo target="_blank">here</a> for episode details.";55.6052931;13.0001566;
Fitness and Fairy Tales in Odense, Denmark;Season: 151 Episode: 12;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/fitness-and-fairy-tales-in-odense-denmark target="_blank">Watch on HGTV GO</a>";A fitness trainer decides to get a Ph.D. in sports psychology in Odense, Denmark, home to a fairy tale sports program he's been looking for. With a new backdrop and a baby in tow, however, he and his wife must compromise to get what they both want.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/fitness-and-fairy-tales-in-odense-denmark target="_blank">here</a> for episode details.";55.3997225;10.3852104;
Third Time's a Charm in Dungloe, Ireland;Season: 123 Episode: 9;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/third-times-a-charm-in-dungloe-ireland target="_blank">Watch on HGTV GO</a>";A couple that moved to Arizona to scale back work and relax quickly realized Arizona is scorching hot. Now, they want to use their third and final chance at relocating on a move to Dungloe, Ireland, which they used as a meeting point throughout his military career. She's set on buying a quaint cottage with stunning water views, but he wants the classic Irish pub life in a home that requires no renovations.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/third-times-a-charm-in-dungloe-ireland target="_blank">here</a> for episode details.";54.9506729;-8.3597378;
Dreaming in Donegal;Season: 119 Episode: 8;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/dreaming-in-donegal target="_blank">Watch on HGTV GO</a>";A woman and her two dogs are trading in the San Diego city life for the rustic charm of Donegal, Ireland. After spending a few years selling off two businesses and her home to make the trip abroad, she hopes to find a home in the country where she can be surrounded by her biggest passion -- animals.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/dreaming-in-donegal target="_blank">here</a> for episode details.";54.92075415;-7.952385215;
England Now or Never;Season: 126 Episode: 8;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/england-now-or-never target="_blank">Watch on HGTV GO</a>";A couple with two kids follows a job transfer to England to fulfill their dream of living abroad. While she prefers a house with quintessential English charm, he's taking a pay cut and wants to keep a close eye on the budget.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/england-now-or-never target="_blank">here</a> for episode details.";54.7023545;-3.2765753;
Touchdown in Poland;Season: 135 Episode: 2;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/touchdown-in-poland target="_blank">Watch on HGTV GO</a>";A job opportunity is bringing a young football player and coach to the Polish seaside city of Gdynia. With help from his friend, this laid-back bachelor looks for a place that is centrally located but not too expensive.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/touchdown-in-poland target="_blank">here</a> for episode details.";54.50383255;18.46280616;https://www.hulu.com/series/house-hunters-international-ccb2f0a5-c6cb-45c1-a6d7-4e5828ac43d160
New Life in County Mayo;Season: 152 Episode: 1;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/new-life-in-county-mayo target="_blank">Watch on HGTV GO</a>";An empty nester that fell in love with Ireland early in life decides to return there for good. She has a plan to start a bed and breakfast, but she quickly realizes that doing so in the remote Irish countryside is more challenging than she thought.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/new-life-in-county-mayo target="_blank">here</a> for episode details.";53.9087056;-9.298304864;
Loving Lubeck;Season: 149 Episode: 2;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/loving-lubeck target="_blank">Watch on HGTV GO</a>";Newlyweds leave all that's familiar to follow a job transfer to Lubeck, Germany. She's eager to spend, but prefers to save while they transition from two incomes to one.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/loving-lubeck target="_blank">here</a> for episode details.";53.866444;10.684738;
A Space to Study in Manchester;Season: 116 Episode: 2;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/a-space-to-study-in-manchester target="_blank">Watch on HGTV GO</a>";After putting in her days in a small college space as a PhD candidate at the University of Manchester, a woman decides to move closer to campus. She wants to be in the center of the action, but a large apartment with a separate study space, room to entertain and outdoor space comes at a premium. Her mother is helping out financially, but she may still need to compromise if she wants to stay on budget.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/a-space-to-study-in-manchester target="_blank">here</a> for episode details.";53.4794892;-2.2451148;
Seeking Character and Views in Manchester;Season: 127 Episode: 6;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/seeking-character-and-views-in-manchester target="_blank">Watch on HGTV GO</a>";A Canadian couple living in Qatar is moving to Manchester, England, where she has been accepted into the University's PhD program. After years in the desert, she dreams of a balcony overlooking the old industrial city, but he prefers something with character, even if that means a basement apartment.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/seeking-character-and-views-in-manchester target="_blank">here</a> for episode details.";53.4794892;-2.2451148;
Digging Into Marriage in Sheffield, England;Season: 148 Episode: 4;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/digging-into-marriage-in-sheffield-england target="_blank">Watch on HGTV GO</a>";A newlywed couple moves to Sheffield, England, for the university. They're looking for a house with three bedrooms and a nice yard for their dogs, but finding a place that's near school and in their budget will be a challenge.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/digging-into-marriage-in-sheffield-england target="_blank">here</a> for episode details.";53.3806626;-1.4702278;
Liffey Runs Through It;Season: 134 Episode: 13;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/liffey-runs-through-it target="_blank">Watch on HGTV GO</a>";Newlyweds head to Dublin, Ireland, when he's given a job offer in the city. His wife was thrilled to hear it but she had just started her dream job in Minneapolis and isn't so sure she wants to give it up. The couple strikes a deal that if they move to Dublin, they'll find a home downtown so she can feel the heartbeat of the new city -- a plan that made perfect sense until he saw the price tag. Now the couple must decide if she's going to concede once again to keep the marriage on track or if he's going to bite the bullet and go over budget to honor her big sacrifice.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/liffey-runs-through-it target="_blank">here</a> for episode details.";53.3497645;-6.2602732;https://www.hulu.com/series/house-hunters-international-ccb2f0a5-c6cb-45c1-a6d7-4e5828ac43d159
Southside Class in Dublin;Season: 113 Episode: 12;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/southside-class-in-dublin target="_blank">Watch on HGTV GO</a>";An Amsterdam family looks to share their life of global citizenship with their daughter by moving o Dublin, Ireland. They're hoping to find a home in the more expensive and exclusive Southside, but they'll have to be careful and keep a close eye on their budget if they want this Irish house hunt to be a success.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/southside-class-in-dublin target="_blank">here</a> for episode details.";53.3497645;-6.2602732;
A New Life in Ireland;Season: 119 Episode: 3;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/a-new-life-in-ireland target="_blank">Watch on HGTV GO</a>";College sweethearts Liam and Gillian are moving to Dublin, Ireland, to start a new life with their dog. Liam is excited to trace his grandfather's roots in Ireland, but the couple doesn't know anyone in Dublin, and their budget might be stretched thin by Gillian's extensive wish list.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/a-new-life-in-ireland target="_blank">here</a> for episode details.";53.3497645;-6.2602732;
Out of Africa, Into Ireland;Season: 148 Episode: 7;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/out-of-africa-into-ireland target="_blank">Watch on HGTV GO</a>";A young, married couple uproots for a job opportunity and relocates to Galway, Ireland. They're looking for two bedrooms and something furnished, but he wants to be in the city and near work while she's looking for a quiet neighborhood.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/out-of-africa-into-ireland target="_blank">here</a> for episode details.";53.2744122;-9.0490632;
